,EMG ,,,IMU 1,,,,,,,,,IMU 2,,,,,,,,,IMU 3,,,,,,,,,
Timestamp (uS),CH1,CH2,CH3,Acc X (mg),Acc Y (mg),Acc Z (mg),Gyr X (DPS),Gyr Y (DPS),Gyr Z (DPS),Mag X (uT),Mag Y (uT),Mag Z (uT),Acc X (mg),Acc Y (mg),Acc Z (mg),Gyr X (DPS),Gyr Y (DPS),Gyr Z (DPS),Mag X (uT),Mag Y (uT),Mag Z (uT),Acc X (mg),Acc Y (mg),Acc Z (mg),Gyr X (DPS),Gyr Y (DPS),Gyr Z (DPS),Mag X (uT),Mag Y (uT),Mag Z (uT),
165628,109,89,78,-6.34766,7.32422,1010.25391,-0.07634,0.00000,1.49618,-46.50000,-21.90000,9.60000,32.22656,432.61719,921.38672,1.38931,1.00000,1.27481,15.75000,-76.50000,55.50000,-2.92969,-181.64062,1006.83594,-1.10687,-0.19847,-3.38168,-21.15000,42.45000,18.60000,
170623,107,86,73,-20.01953,16.11328,1020.01953,-0.91603,0.35115,-5.17557,-46.50000,-21.90000,9.60000,30.27344,423.33984,915.03906,2.80916,0.04580,2.87023,15.75000,-76.50000,55.50000,0.48828,-213.37891,1007.32422,1.32824,2.20611,-1.05344,-21.15000,42.45000,18.60000,
175617,105,91,77,-10.74219,11.23047,1020.99609,1.16031,-2.44275,1.89313,-46.35000,-20.25000,10.80000,33.69141,418.45703,916.50391,1.15267,0.22137,1.12977,16.50000,-74.70000,55.80000,5.85937,-199.21875,1001.95312,-2.06107,2.67176,-1.39695,-22.20000,42.90000,19.95000,
180615,104,89,77,-11.23047,2.44141,1011.71875,1.76336,-2.55725,-0.60305,-46.35000,-20.25000,10.80000,38.57422,421.87500,918.94531,0.73282,-0.39695,0.90076,16.50000,-74.70000,55.80000,-10.74219,-190.42969,999.51172,0.32824,0.05344,-1.27481,-22.20000,42.90000,19.95000,
185614,105,91,78,-11.71875,9.76562,1017.08984,-2.23664,-0.70992,-1.78626,-45.75000,-20.85000,10.95000,44.43359,416.99219,914.06250,0.60305,2.57252,0.41221,16.50000,-74.70000,55.80000,-18.06641,-186.03516,1002.44141,-1.97710,2.12977,-0.17557,-21.15000,43.65000,19.65000,
190612,104,88,76,-14.16016,13.18359,1021.48437,-0.39695,2.06107,-0.51145,-45.75000,-20.85000,10.95000,25.39063,424.80469,918.94531,-0.22137,1.96947,-0.51145,16.50000,-74.70000,55.80000,-19.53125,-183.59375,990.72266,-0.77863,-0.07634,-1.53435,-21.15000,43.65000,19.65000,
195598,115,90,81,-9.76562,1.95312,1012.20703,-0.65649,-2.02290,-0.07634,-45.90000,-20.70000,11.10000,26.36719,426.75781,910.15625,2.91603,-0.22901,1.89313,15.60000,-75.60000,57.45000,-6.83594,-187.98828,1015.62500,-1.67176,1.19847,-0.18321,-22.05000,43.50000,17.70000,
200593,106,87,75,-7.81250,11.71875,1020.01953,0.71756,0.18321,-0.04580,-45.90000,-20.70000,11.10000,27.83203,423.33984,908.69141,1.80916,0.58015,0.72519,15.60000,-75.60000,57.45000,4.39453,-195.80078,1006.83594,-0.51145,1.25954,-0.61832,-22.05000,43.50000,17.70000,
205589,108,90,85,-18.06641,4.39453,1009.27734,-1.54962,0.80916,-1.44275,-45.90000,-20.70000,11.10000,42.48047,419.92187,914.06250,0.71756,0.32061,0.13740,15.75000,-75.45000,55.20000,5.37109,-186.03516,997.07031,-0.93130,1.01527,-0.19084,-22.05000,43.50000,17.70000,
210587,105,91,77,-14.64844,0.00000,1023.43750,-2.03817,-0.25954,-2.74809,-45.90000,-20.70000,11.10000,46.87500,420.89844,920.41016,1.22137,1.22137,0.94656,15.75000,-75.45000,55.20000,0.00000,-201.66016,1003.41797,1.61069,1.03817,-1.07634,-22.05000,43.50000,17.70000,
