,EMG ,,,IMU 1,,,,,,,,,IMU 2,,,,,,,,,IMU 3,,,,,,,,,
Timestamp (uS),CH1,CH2,CH3,Acc X (mg),Acc Y (mg),Acc Z (mg),Gyr X (DPS),Gyr Y (DPS),Gyr Z (DPS),Mag X (uT),Mag Y (uT),Mag Z (uT),Acc X (mg),Acc Y (mg),Acc Z (mg),Gyr X (DPS),Gyr Y (DPS),Gyr Z (DPS),Mag X (uT),Mag Y (uT),Mag Z (uT),Acc X (mg),Acc Y (mg),Acc Z (mg),Gyr X (DPS),Gyr Y (DPS),Gyr Z (DPS),Mag X (uT),Mag Y (uT),Mag Z (uT),
29342,97,99,147,
29541,107,97,141,
29740,99,99,148,
29938,109,104,145,
30144,96,101,143,
30342,104,101,148,
30540,101,99,152,
30739,126,100,154,
30938,136,102,149,
31144,85,100,152,
31342,92,104,136,
31541,99,100,147,
31740,99,104,146,
31939,108,106,145,
32144,119,97,152,
32343,125,101,172,
32541,122,101,144,
32740,139,99,249,
32939,117,97,147,
33144,107,104,153,
33343,106,99,145,
33541,97,97,149,
33740,88,101,150,
33939,97,97,149,
34144,105,99,145,
34342,121,83,147,
34541,119,97,143,
34740,119,93,152,
34938,127,106,142,
35144,135,101,149,
35342,135,97,147,
35541,121,98,148,
35740,133,100,186,
35939,122,99,150,
36144,115,101,151,
36342,102,104,153,
36541,93,83,147,
36739,123,101,146,
36939,102,101,151,
37147,100,99,149,
37348,121,92,152,
37549,125,94,149,
37749,141,97,148,
37950,101,94,150,
38157,125,95,150,
38358,118,107,145,
38558,100,100,150,
38759,111,99,149,
38960,108,97,150,
39168,103,100,145,
39368,109,90,155,
39569,101,97,145,
39770,125,98,153,
39971,121,93,147,
40179,115,102,147,
40379,140,100,141,
40580,105,93,139,
40781,117,99,147,
40982,106,100,153,
41190,128,101,153,
41390,117,133,148,
41591,120,97,147,
41792,132,93,156,
41993,124,83,140,
42200,103,102,151,
42401,117,99,265,
42602,143,95,146,
42804,93,94,149,
43005,115,93,153,
43213,113,91,146,
43413,108,84,145,
43614,118,90,148,
43815,106,102,152,
44016,99,99,151,
44223,123,93,149,
44424,120,99,145,
44625,102,101,149,
44826,121,104,153,
45026,133,96,143,
45234,108,95,145,
45434,100,97,154,
45635,127,99,141,
45836,119,103,147,
46037,115,99,147,
46245,110,88,148,
46445,120,95,151,
46647,98,101,150,
46847,101,94,147,
47048,92,94,149,
47256,122,97,151,
47456,110,95,147,
47657,120,95,133,
47858,117,98,150,
48059,116,100,148,
48266,64,93,148,
