Timestamp (uS),IMU1_X,IMU1_Y,IMU1_Z
30191,-0.07671127799830502,-0.008772477615090004,-0.12116547496889996
30389,-0.07725159440455502,-0.008804570873130003,-0.12199942077335996
30588,-0.07780484391259503,-0.008830916089200003,-0.12284246764835996
30787,-0.07835138737330502,-0.008854387279380004,-0.12370132165103996
30986,-0.07889170377955503,-0.008864446365090003,-0.12455825964299996
31192,-0.07944926432152502,-0.008870673419550003,-0.12541280261174997
31391,-0.08001448892599503,-0.008880732505260003,-0.12626399255192997
31590,-0.08056390640278503,-0.008890791590970002,-0.12710943445013997
31789,-0.08110422280903504,-0.008886480557040003,-0.12794242223942998
31988,-0.08163112710100504,-0.008897976650790004,-0.12877541002871998
32194,-0.08214366128314504,-0.008894623622220004,-0.12960935583317998
32393,-0.08265859047868504,-0.008902287684720003,-0.13043515856264998
32593,-0.08319076381975504,-0.008917136807040003,-0.13126000328676
32791,-0.08371239907243504,-0.008932464932040004,-0.1320867640314
32990,-0.08423307631975503,-0.008954499114180003,-0.13291017174747
33197,-0.08476620766618503,-0.008967911218650003,-0.13373501647158
33395,-0.08530508706439503,-0.008988987395430003,-0.13455507115908
33597,-0.08583821841082503,-0.009011021577570003,-0.13537895787783
33796,-0.08637039175189504,-0.009039761816850003,-0.13619853356265
33995,-0.08691310318135503,-0.009067544040960003,-0.13700278112247
34201,-0.08744144449117504,-0.009098679293640003,-0.13782187780461
34400,-0.08798607193135503,-0.009129335543640003,-0.13863426842961
34599,-0.08851776626974503,-0.009157117767750004,-0.13944570104925
34798,-0.08904131754295502,-0.009179630952570003,-0.14025665466620998
34997,-0.08957061685813503,-0.009213161228460004,-0.14106138122870998
35202,-0.09009608414206503,-0.009248607515070003,-0.14185940173406997
35401,-0.09061771939474503,-0.009274952731140002,-0.14266077526799997
35600,-0.09113073257956503,-0.009286927827570002,-0.14345208971621998
35799,-0.09164230874653503,-0.009309441012390002,-0.14425058922425998
35998,-0.09214574184832504,-0.009330996191850002,-0.14505483678408
36204,-0.09265396499653504,-0.009341534280240002,-0.14585429430729
36403,-0.09316362515278503,-0.009357820410600001,-0.14665710484926
36602,-0.09367280630635504,-0.009384644629350002,-0.14746183141176
36801,-0.09417623940814504,-0.009406199808810002,-0.14827134801087
37001,-0.09467344546528504,-0.009405720806130002,-0.14908421763855
37209,-0.09517927359028504,-0.009411947860590002,-0.14992055845641
37410,-0.09569563980367504,-0.009437814073980002,-0.15073773911802
37611,-0.09621631705099504,-0.009451705190940001,-0.15157120590999
