timestamps,ax_filtered3,ay_filtered3,az_filtered3
745924,-7.635958461863222,-63.18516660920927,1028.4196123088227
750928,-7.271637198795776,-62.77421845776437,1023.999099628071
755933,-4.345366017612017,-62.654378567605015,1019.8727039921735
760937,-1.257928320798477,-63.501993643464,1018.3333287866908
765939,0.7300681941733584,-65.747128887353,1016.775834341318
770942,1.5846362726332637,-68.11218096739157,1012.0345958507947
775951,-0.1462083537902953,-69.34190185699384,1007.9538069336737
780958,-4.316307247841622,-69.4582739206549,1010.5540774329297
785969,-7.403974394855609,-67.85418392298955,1017.2375617108103
790983,-8.352067604634684,-65.47413259205322,1020.1160572654179
795996,-10.056054732818705,-66.23551333299238,1016.7489226678764
801009,-13.421953662426391,-70.22440937317754,1012.2377683866024
806015,-15.068281988440125,-72.23584066870212,1012.227219574986
811028,-12.358103185690826,-70.49901304964149,1015.9306067697811
816043,-7.9465750894797695,-67.94505477212556,1018.5795162404575
821058,-5.852742494123751,-65.54432659693867,1018.4496950149987
826069,-6.261811379802586,-63.0595326644289,1018.1264776430038
831076,-7.780053712615108,-61.37041006008511,1020.6973525842678
836087,-9.69656902282626,-60.46773128248975,1024.5203898231453
841093,-11.261750369545547,-60.39723305205856,1025.266409743404
846099,-12.125034825199421,-61.9685104416317,1023.2221245651713
851115,-10.972613253196187,-65.21844833058964,1021.4589640731085
856122,-6.8298157506373185,-69.05230703749993,1021.201840892476
861127,-3.324149574433346,-71.53418240528136,1021.5099157677693
866140,-4.0310575998173235,-71.47190464571277,1020.3285738517225
871151,-7.447033323755486,-70.36976000024558,1018.1740360561453
876160,-10.658877816847008,-70.99812766302388,1017.6961576686451
881171,-11.868977384011512,-73.1155254018817,1018.5259656340519
886175,-9.93825047357006,-73.68057913424744,1018.1714802196013
891176,-4.82823793637885,-71.74080003413192,1017.0678939805247
896175,1.4127464968475654,-69.89329458137223,1017.3075644180551
901176,5.930237499044086,-70.31120806596363,1018.7647741193383
906176,6.790016746813087,-71.57346087890068,1019.6795682237565
911178,3.4732337301839467,-71.16450397597862,1019.1325295197289
916178,-1.4449873389627836,-68.73170227872619,1018.399623051041
921179,-4.7570049383102635,-66.4602310269456,1019.2157071580433
926181,-7.211512220768906,-66.57027831208438,1021.2274674686086
931181,-10.274150818812958,-67.96799818331942,1022.8234950608156
936181,-12.967731482781042,-67.77554961381887,1023.1484410180154
941181,-15.368351132806337,-66.01390269333857,1021.2654235101165
946178,-17.309659967331108,-65.28512703433407,1017.4265890813022
951178,-15.847074875755649,-65.85551754015161,1015.5065331866765
956181,-10.200834376406966,-65.40415976913056,1017.598485441054
961181,-4.151727990185617,-62.85864388594128,1020.473776942183
966181,-1.3106715247588736,-59.18110422174823,1020.909124418986
971181,-1.5625265328626032,-56.423971036129046,1019.0249053505913
976181,-3.8939250848549305,-56.54164995946552,1017.1463994864023
981181,-8.744989258079904,-58.598474262332246,1017.0122225077325
986181,-15.043002270423528,-60.0670763779761,1018.0975687698304
991181,-19.499375993259406,-61.277320368307414,1019.3625479471826
996181,-19.970919610222992,-62.96062508711344,1020.9050375838139
1001181,-16.350172675984833,-64.10723948002723,1022.8371463289367
1006181,-10.614960165597621,-65.59568145441695,1023.5540402146504
1011181,-6.584282472492775,-68.52462485058436,1021.7069629225307
1016181,-5.054943293704983,-70.56618315738122,1018.6024831064356
1021181,-3.06789215268265,-69.12172359941704,1016.8149029980978
1026181,-0.17979261723104784,-65.41025484597161,1017.3937344759236
1031181,1.471657282484982,-62.38434380091057,1018.205456450793
1036181,1.7752224528397573,-61.131534655619674,1017.604634048909
1041181,1.3764938876237474,-61.31880985533901,1017.8967042714987
1046181,-0.8361342722541386,-61.62864663689931,1021.1604447618423
1051181,-5.385387059491853,-61.32293891589982,1026.456374509674
1056181,-9.887704895864319,-62.567669223017326,1030.668900442394
1061181,-11.072705155723298,-66.80891565939577,1029.4735096007369
1066181,-8.467584459942938,-70.68340248401606,1022.2545557231867
1071181,-5.260387965268572,-70.56690911067805,1014.9645540393955
1076181,-4.622709997713738,-68.07755130823406,1014.0139369846364
1081181,-5.827479577846248,-65.82413549653718,1017.9557716204906
1086179,-5.97160872837361,-63.39853435272154,1020.1373406087641
1091181,-4.777427927700388,-61.17666047108995,1019.1448715408228
1096181,-4.858342680339136,-60.98848568950848,1018.1532331445825
1101181,-7.254457597763737,-62.10291504039966,1018.4034306054749
1106181,-10.204698505601261,-62.47289352979129,1019.5619572619497
1111181,-12.33901465349436,-62.22220612146741,1020.0410587988669
