Timestamp (uS),IMU1_AccX,IMU1_AccY,IMU1_AccZ,IMU2_AccX,IMU2_AccY,IMU2_AccZ,IMU3_AccX,IMU3_AccY,IMU3_AccZ
335669,-8.30078,1.46484,1023.4375,-10.25391,8.30078,1006.83594,-6.34766,-62.01172,1012.20703
340673,-28.80859,1.95312,1013.67187,-4.88281,18.06641,1008.30078,-11.23047,-63.96484,1020.50781
345677,-10.74219,-0.97656,1024.90234,-16.60156,-0.48828,1016.60156,-8.30078,-66.40625,1013.18359
350676,-2.44141,8.78906,1016.11328,-8.30078,7.32422,1013.18359,-14.64844,-69.82422,1015.13672
355676,-17.57813,14.64844,1024.90234,-3.90625,-1.46484,993.65234,-10.25391,-63.96484,1015.625
360675,-22.94922,3.90625,1023.92578,-14.64844,-5.37109,1014.64844,-4.88281,-52.24609,1009.76562
365675,-13.18359,12.20703,1024.90234,-4.39453,-11.23047,1021.97266,-20.99609,-61.03516,1020.01953
370678,-0.48828,-0.48828,1036.13281,-15.625,6.83594,1021.97266,-9.76562,-69.33594,1007.32422
375677,-12.20703,10.25391,1019.04297,-24.90234,-5.85937,1033.69141,-17.08984,-70.80078,1018.55469
380676,-17.08984,5.37109,1015.13672,-17.57813,-10.74219,1006.83594,-8.30078,-55.17578,1013.67187
385675,-16.11328,7.32422,1025.39063,-12.69531,5.37109,1014.16016,5.37109,-62.98828,1012.20703
390675,-9.27734,4.39453,1025.39063,-1.95312,1.95312,1011.71875,-1.95312,-70.80078,1028.32031
395677,-16.11328,10.74219,1029.78516,-4.88281,9.76562,1011.23047,-9.76562,-62.98828,1019.04297
400679,-13.67187,7.8125,1025.39063,-16.60156,-1.95312,1018.55469,-7.8125,-59.57031,1023.4375
405682,-13.67187,2.44141,1027.83203,-9.27734,1.95312,1014.16016,0.97656,-71.77734,1020.01953
410684,-28.32031,14.16016,1018.06641,1.46484,-9.27734,1012.69531,-20.01953,-62.5,1017.57812
