IMU1_AccX,IMU1_AccY,IMU1_AccZ,IMU1_AccX,IMU1_AccY,IMU1_AccZ,IMU1_MagX,IMU1_MagY,IMU1_MagZ,IMU2_AccX,IMU2_AccY,IMU2_AccZ,IMU2_GyrX,IMU2_GyrY,IMU2_GyrZ,IMU2_MagX,IMU2_MagY,IMU2_MagZ,IMU3_AccX,IMU3_AccY,IMU3_AccZ,IMU3_GyrX,IMU3_GyrY,IMU3_GyrZ,IMU3_MagX,IMU3_MagY,IMU3_MagZ
-804.6875,165.03906,-556.15234,0.143756487,0.072211252,-0.037571179,-15,30.45,15.15,-164.0625,-153.80859,995.11719,0.04396624,0.108983071,-0.045298624,74.85,-0.15,88.8,-944.82422,-138.18359,389.64844,0.096459461,0.123372089,0.041568158,61.8,14.85,10.95
-813.47656,154.78516,-547.85156,0.133497616,0.122972408,-0.035306265,-15.45,31.35,14.25,-166.99219,-167.96875,1015.13672,-0.008926486,0.112846881,-0.118442581,75.75,-1.05,88.95,-945.80078,-127.44141,387.20703,0.127635579,0.16547327,0.036238969,59.7,14.85,10.95
-800.29297,158.20312,-542.96875,0.140825381,0.093794867,0.035972458,-14.4,31.05,14.55,-167.96875,-160.64453,997.07031,0.011058232,0.079006168,-0.09739199,74.25,0.3,87.9,-943.84766,-101.07422,381.83594,0.181061329,0.186657029,0.058754938,59.7,14.85,10.95
-805.17578,149.90234,-564.45312,0.190653833,0.064483982,-0.02158344,-14.4,31.05,14.55,-169.92187,-167.96875,979.49219,-0.033973881,0.056756536,-0.113912753,75.6,-1.2,88.8,-954.10156,-109.375,372.55859,0.156280272,0.155214399,-0.011724424,60.6,16.65,10.8
-806.15234,136.71875,-561.52344,0.136695234,0.153215997,-0.104453243,-15,31.2,13.05,-160.15625,-162.59766,998.04687,0.008659975,0.072344596,-0.124038281,75.75,0.3,90.75,-941.89453,-109.375,375.97656,0.211437912,0.060753515,0.063151597,61.05,15.6,9.6
-810.05859,138.67187,-564.94141,0.182926563,0.071944915,-0.039569756,-15.3,31.95,13.35,-154.29687,-156.25,1014.64844,0.027712163,0.045298624,-0.152816142,75.75,0.3,90.75,-942.38281,-99.60938,398.4375,0.206108724,0.120707495,0.03277484,60,16.35,10.35
-797.36328,132.32422,-571.77734,0.202644769,0.05342575,-0.041434989,-14.85,30.6,14.55,-150.87891,-149.90234,1009.27734,-0.000799361,0.002264914,-0.173733564,75.75,-1.5,90,-935.54687,-79.58984,383.78906,0.236352138,0.113912753,0.043699903,61.05,16.05,10.35
-810.54687,122.55859,-561.52344,0.123638601,0.150284891,-0.072611107,-14.85,31.8,13.95,-140.625,-153.32031,998.53516,0.005862212,-0.04783005,-0.167738184,75.9,-0.9,88.8,-929.19922,-76.17188,377.44141,0.219964718,0.108317053,0.022249632,61.05,16.05,10.35
-800.78125,125.48828,-575.19531,0.187323047,0.015588059,0.003064275,-14.85,31.8,13.95,-137.20703,-175.29297,1002.92969,-0.012923465,0.003197618,-0.197049069,74.25,-1.05,88.95,-940.42969,-64.45313,389.16016,0.261133196,0.121506855,0.029577397,60.9,15.9,10.8
-807.61719,96.19141,-576.66016,0.208373638,0.022249632,-0.006528404,-14.1,30.6,12.9,-143.55469,-150.87891,996.09375,-0.003996979,0.033707544,-0.161343123,74.25,-1.05,88.95,-945.80078,-76.17188,406.73828,0.262732092,0.070879043,0.069546658,60.9,15.9,10.8
-812.5,107.42188,-567.38281,0.173467053,0.054491623,-0.066215872,-14.25,30.45,13.05,-134.76562,-162.59766,972.16797,0.034240393,0.084735037,-0.174932606,74.4,0.45,90.3,-939.94141,-54.6875,396.97266,0.239816268,0.201578896,0.035306265,60.6,16.95,9.45
-835.9375,105.46875,-575.68359,0.175332286,0.004396659,-0.014655355,-16.05,30.9,14.1,-138.18359,-124.02344,987.79297,0.058088746,0.083802508,-0.200513024,73.95,-0.3,88.95,-937.01172,-46.875,382.8125,0.239150076,0.023981697,0.066748896,60,17.1,10.65
-807.12891,102.53906,-567.87109,0.207441108,-0.061819213,-0.014655355,-16.05,30.9,14.1,-151.85547,-117.1875,1006.83594,0.069280321,0.036238969,-0.222895824,73.95,-0.3,88.95,-920.89844,-20.50781,382.8125,0.265663023,0.065016831,0.037704522,58.8,17.4,10.05
-812.98828,113.28125,-558.10547,0.161343123,-0.024514546,-0.014788698,-16.2,29.25,14.55,-136.23047,-113.76953,1001.95312,0.062219068,0.050361476,-0.171601819,74.25,-1.05,88.35,-903.32031,-22.94922,396.97266,0.276721255,0.089398208,0.020384398,61.95,15.45,9
-820.80078,121.09375,-564.94141,0.171335307,-0.101921818,0.060886684,-15.9,29.55,12.9,-130.85937,-109.86328,1009.27734,0.008127126,0.113646242,-0.21463553,74.4,-0.9,87.45,-936.52344,1.95312,412.10937,0.302301673,0.010658551,0.057422729,60.15,15.9,10.5
-827.63672,99.12109,-550.78125,0.149085676,-0.09739199,0.035039754,-14.25,30.15,15.15,-144.04297,-105.46875,1011.23047,0.005329188,0.080471721,-0.195716684,74.7,-1.5,88.95,-924.80469,-4.88281,402.34375,0.286713614,0.002398082,0.04956194,59.1,15.9,10.05
-812.01172,97.65625,-552.24609,0.138693636,-0.078206808,-0.015721228,-16.2,31.05,15.15,-145.99609,-114.74609,1002.44141,0.042767199,0.062085725,-0.146820762,74.7,-1.5,88.95,-934.57031,-10.74219,392.57812,0.244745776,0.079272506,0.071944915,59.1,15.9,10.05
-814.45312,107.42188,-535.15625,0.122572728,-0.074742678,0.001598722,-16.2,31.05,13.95,-154.78516,-93.75,1002.92969,0.036105626,0.05475796,-0.139093491,75.15,-1.2,88.05,-953.61328,11.71875,408.69141,0.226493122,0.042367519,0.063418109,59.4,15.45,9.75
-818.84766,112.79297,-537.10937,0.155214399,-0.127235899,-0.011724424,-16.2,31.05,13.95,-139.64844,-90.82031,1009.76562,0.028911205,0.084601868,-0.124970985,74.25,-1.8,87.6,-947.26562,5.85937,395.99609,0.204510002,0.023048993,-0.012923465,60.3,15.3,9.75
-816.40625,117.67578,-532.71484,0.113646242,-0.088065823,-0.039836093,-13.8,28.8,13.95,-148.4375,-79.10156,1033.69141,0.023582016,0.029843734,-0.135762705,74.1,0.15,87.45,-944.82422,16.60156,408.69141,0.126436363,0.062352237,0.025047395,60.3,15.3,10.35
-830.56641,112.79297,-522.46094,0.094860565,-0.041035309,0.011457912,-14.85,28.5,13.2,-136.71875,-73.73047,1031.25,0.007194422,0.030909607,-0.067148576,74.1,0.15,87.45,-946.77734,-9.76562,406.73828,0.09699231,0.033574201,0.041967838,61.8,16.35,9.3
-841.30859,111.32813,-507.8125,0.092728994,-0.148552827,-0.011724424,-14.4,30.3,13.2,-139.16016,-74.70703,1020.50781,-0.009192998,0.004929508,-0.084068845,74.85,-1.65,89.55,-943.84766,-0.97656,415.52734,0.066615552,0.035839289,0.042767199,61.05,15.3,9.6
-829.58984,106.93359,-521.48437,0.096192949,-0.054491623,-0.050361476,-14.55,28.95,14.1,-124.02344,-75.68359,999.51172,-0.004396659,-0.003330786,-0.036372138,76.2,-2.7,89.85,-950.68359,-8.30078,372.55859,0.057023048,0.029310885,0.014122506,59.1,15.9,10.5
-821.77734,94.23828,-514.64844,0.072744276,-0.040635454,-0.06981317,-14.55,28.95,14.1,-122.07031,-77.63672,1001.46484,-0.014921867,0.002531426,-0.021183759,76.5,-1.5,87.6,-928.22266,1.95312,399.41406,0.028378181,0.047963219,0.017053612,60,16.35,9.3
-835.44922,104.49219,-514.64844,0.074609509,-0.056889705,-0.025713587,-14.4,29.25,13.2,-126.46484,-88.37891,996.09375,0.005329188,0.005462531,-0.055024472,76.5,-1.5,87.6,-932.12891,-28.80859,393.55469,0.04223435,0.036771818,-0.012523785,60,16.35,9.3
-838.86719,125,-524.41406,0.08020521,-0.083935676,0.000932704,-15,29.7,13.35,-144.04297,-101.07422,994.14062,-0.045831473,0.020384398,-0.015321547,73.95,0,87.9,-934.57031,-26.85547,375.97656,0.040768797,0.074876021,-0.000532849,59.7,15.6,8.55
-838.37891,121.09375,-516.60156,0.033307863,-0.068614129,0.002931106,-13.5,27.9,13.65,-127.92969,-104.98047,1015.625,-0.056356856,0.052626389,0.048096562,74.85,-1.2,89.85,-934.57031,-31.25,365.72266,0.038903564,0.046631009,-0.023715185,59.7,15.6,8.55
