IMU1_AccX,IMU1_AccY,IMU1_AccZ,IMU1_AccX,IMU1_AccY,IMU1_AccZ,IMU1_MagX,IMU1_MagY,IMU1_MagZ,IMU2_AccX,IMU2_AccY,IMU2_AccZ,IMU2_GyrX,IMU2_GyrY,IMU2_GyrZ,IMU2_MagX,IMU2_MagY,IMU2_MagZ,IMU3_AccX,IMU3_AccY,IMU3_AccZ,IMU3_GyrX,IMU3_GyrY,IMU3_GyrZ,IMU3_MagX,IMU3_MagY,IMU3_MagZ
-835.44922,124.51172,-557.61719,-0.052759558,0.013589657,0.0223828,-12.6,28.5,12.9,-455.07812,48.33984,911.13281,0.038503883,0.014255674797364485,-0.03703833,85.5,4.8,76.5,-955.56641,89.84375,360.83984,0.053692262,-0.055024472,0.043300222,59.85,23.7,9.45
-852.53906,129.39453,-561.52344,-0.055157815,0.031442630073453444,0.007194422,-12.6,28.5,12.9,-462.89062,61.52344,901.36719,-0.001065873,0.013323145378023914,-0.045964817,85.8,4.8,75.75,-968.26172,81.05469,365.72266,0.057955578,-0.018785677,0.075675382,59.85,23.7,9.45
-847.65625,119.62891,-562.5,-0.090197569,0.044365921,0.003996979,-15,28.65,14.1,-437.98828,55.17578,911.13281,0.015854571,0.002398082,-0.01079172,85.8,4.8,75.75,-964.35547,75.68359,355.46875,0.044499264,-0.076874423,0.033441032,59.85,23.7,9.45
-836.91406,114.25781,-563.47656,-0.089264865,0.048362899,0.001065873,-15,28.65,14.1,-448.24219,36.62109,914.0625,-0.029044373,0.010791719830931338,0.023315504,85.8,4.8,75.75,-965.33203,73.24219,361.32812,0.043699902877284424,-0.070346019,0.032241991,59.85,25.05,9
-838.37891,120.60547,-555.17578,-0.076075062,0.047297026,0.006661573,-15,28.65,14.1,-459.96094,31.73828,893.55469,-0.012523785,-0.005995381,-0.054225111,85.8,4.8,75.75,-967.28516,65.42969,366.21094,0.069013809,-0.067947937,0.050894325,59.85,25.05,9
-847.16797,113.76953,-553.71094,-0.057289385,0.024514545607661954,-0.018252653,-15,28.65,14.1,-454.10156,29.78516,902.34375,-0.0167871,-0.003597298,-0.023715185,85.8,4.8,75.75,-948.73047,66.40625,360.83984,0.085268061,-0.101921818,0.015588059148336955,60,25.65,9.9
-829.10156,116.69922,-552.73437,-0.077007592,0.055690663904335864,-0.072477764,-13.8,30.6,12.9,-435.54687,25.39063,921.875,0.001998402,-0.059154619,-0.05902145,86.25,4.5,77.25,-952.14844,54.6875,376.95312,0.099257224,-0.124038281,0.048762579438544375,60,25.65,9.9
-840.33203,105.95703,-550.29297,-0.003330786,0.005995381,0.022116463215421746,-13.8,30.6,12.9,-442.87109,23.4375,909.66797,0.008393637,-0.005462531,-0.051693685,86.25,4.5,77.25,-941.40625,53.71094,373.53516,0.070079682,-0.059687642,0.027845331952167932,58.95,25.35,11.7
-833.49609,122.55859,-553.71094,-0.04743037,0.033041352,0.030110245722480975,-14.1,28.8,13.95,-427.24609,32.71484,930.17578,0.015188378749630253,0.037704522,-0.083802508,86.25,5.55,77.55,-949.21875,75.68359,374.02344,0.11044862385640596,-0.092462482,0.033840712,58.95,25.35,11.7
-820.80078,107.91016,-563.47656,0.023715184810248553,0.062352237,-0.005728869,-14.1,28.8,13.95,-428.71094,31.25,931.64062,0.005462531,0.029310885,-0.071145554,86.25,5.55,77.55,-951.17187,71.77734,365.23437,0.098857543,-0.082203612,-0.050228132,60.3,24.6,11.4
-838.37891,111.81641,-567.38281,-0.015321547,0.047696706864351436,-0.052493046,-15.15,28.05,13.95,-430.66406,12.69531,928.22266,0.013722825776730615,0.011324568851565207,-0.081537594,85.8,3.3,75.75,-937.5,71.77734,374.51172,0.11138132780867173,-0.078739657,-0.015854571,60.3,24.6,11.4
-849.12109,125.97656,-562.5,0.012390441425758144,0.063551278,-0.052226709,-15.15,28.05,13.95,-418.45703,20.01953,898.4375,0.040768797,0.011990761027051442,-0.121506855,85.8,3.3,75.75,-936.03516,61.52344,360.83984,0.11684385930156357,-0.115911155,0.017186780743163762,60.3,24.6,11.4
-843.75,112.79297,-547.85156,0.071145554,0.073277125,-0.016920443,-13.95,28.95,13.65,-421.875,33.69141,907.22656,0.029044373148288036,0.038503883,-0.106718157,85.8,3.3,75.75,-918.94531,62.98828,372.07031,0.12257272803830976,-0.11937511,0.007194422,59.7,25.35,10.65
-858.39844,127.44141,-555.66406,0.041035309,0.061686044,-0.050228132,-13.95,28.95,13.65,-420.89844,44.92188,910.64453,0.059421130647548545,0.012790121824464847,-0.102055161,85.8,3.3,75.75,-940.91797,71.28906,386.23047,0.1777305429220118,-0.144689191,0.06461715,59.7,25.35,10.65
-847.65625,141.60156,-557.12891,0.04956194,0.052759558,-0.003463955,-13.95,28.95,13.65,-409.17969,29.29688,942.38281,0.012390441425758144,0.035306265,-0.093395186,85.8,4.8,76.95,-920.89844,75.68359,372.07031,0.173467053,-0.125237322,0.10085611975451993,59.7,25.65,10.95
-841.79687,138.67187,-541.99219,0.029977077100553806,0.065016831,-0.044898944,-13.95,28.95,13.65,-400.87891,48.82813,942.87109,0.025313906405075356,0.13776110678794004,-0.107917373,85.8,4.8,76.95,-935.05859,70.80078,389.16016,0.19025415296969708,-0.122705897,0.057023048,59.7,25.65,10.95
-846.67969,118.16406,-564.45312,0.024381376985734785,0.10352071392353968,-0.063018429,-13.05,29.85,13.5,-421.875,45.41016,938.96484,0.082070443,0.15921137782787553,-0.135895873,85.65,4.95,75.6,-920.89844,80.56641,379.39453,0.18505813325358475,-0.175199117,0.048629411,59.7,25.65,10.95
