Timestamp (uS),IMU1_AccX,IMU1_AccY,IMU1_AccZ,IMU2_AccX,IMU2_AccY,IMU2_AccZ,IMU3_AccX,IMU3_AccY,IMU3_AccZ
455737,2.44141,8.78906,1009.76562,893.06641,283.20312,-293.45703,82.03125,-5.85937,1022.46094
460737,5.37109,7.32422,1007.32422,894.53125,282.71484,-314.45312,79.10156,-27.83203,1013.67187
465748,-16.60156,-2.92969,1018.55469,892.08984,271.97266,-311.03516,75.68359,-7.8125,1019.53125
470755,-5.37109,-1.95312,1017.08984,907.22656,289.55078,-313.96484,69.82422,-23.92578,1008.30078
475766,-8.78906,-7.32422,1017.57812,895.50781,283.69141,-304.19922,72.75391,-12.69531,1014.16016
480775,5.37109,-5.85937,1028.80859,904.78516,283.69141,-309.57031,68.35938,-7.8125,1020.50781
485784,-6.34766,3.41797,1016.60156,902.83203,290.52734,-301.26953,73.24219,-25.87891,1016.60156
490793,-6.34766,3.90625,1016.60156,908.69141,302.24609,-300.29297,71.28906,-12.20703,1005.37109
495803,-2.44141,2.92969,1011.23047,908.20312,294.43359,-309.57031,71.77734,-2.92969,1014.16016
500809,-5.85937,0.97656,1004.88281,906.73828,287.10937,-312.98828,78.125,-9.27734,1010.74219
505816,1.46484,13.67187,1025.39063,914.55078,295.41016,-331.54297,61.03516,-15.625,1013.18359
510824,-3.41797,6.34766,1023.92578,888.18359,307.61719,-305.17578,66.40625,-19.04297,1008.78906
515825,1.46484,1.46484,1018.06641,898.4375,293.45703,-316.40625,54.6875,-24.90234,1011.71875
520825,-10.74219,-5.85937,1017.57812,895.01953,286.13281,-332.03125,70.80078,-11.71875,1019.04297
525835,2.44141,4.88281,1020.01953,902.83203,284.66797,-323.24219,68.35938,-27.34375,1011.23047
530847,-6.34766,3.90625,1014.16016,895.99609,285.15625,-313.96484,83.98438,-26.36719,1002.92969
535858,3.41797,-3.41797,1018.06641,889.16016,287.59766,-299.80469,64.45313,-21.48438,1018.06641
540866,7.8125,-9.27734,1027.83203,883.30078,285.64453,-309.57031,77.14844,-5.85937,1022.46094
545884,-3.90625,2.44141,1021.97266,885.25391,278.32031,-321.77734,71.77734,-22.46094,999.02344
550896,2.92969,1.46484,1026.36719,876.46484,285.15625,-311.03516,69.82422,-10.74219,1014.64844
555904,-4.88281,3.41797,1015.625,893.06641,291.01562,-321.28906,74.21875,-11.23047,1007.8125
560910,-11.23047,0.48828,1020.01953,876.46484,278.32031,-327.14844,74.70703,-13.18359,998.04687
565910,1.95312,3.90625,1029.78516,866.69922,282.71484,-332.51953,72.26563,-10.74219,1021.97266
570910,-8.30078,3.41797,1025.39063,874.51172,290.52734,-318.35937,71.77734,-14.16016,1023.4375
575910,2.92969,-11.71875,1012.69531,889.16016,282.22656,-323.24219,70.3125,-12.69531,1007.32422
580910,3.41797,0.48828,1022.46094,876.46484,286.13281,-333.00781,82.51953,-8.30078,1009.76562
585910,-0.48828,7.32422,1024.90234,879.39453,281.73828,-327.14844,80.07813,-10.25391,1017.08984
590910,-16.60156,-5.85937,1030.27344,879.88281,273.92578,-340.33203,66.40625,-12.20703,1018.55469
595910,1.95312,2.44141,1015.13672,881.83594,281.25,-333.00781,66.40625,-27.34375,1008.78906
600910,-2.92969,-2.44141,1028.80859,874.02344,298.33984,-328.61328,72.26563,-17.08984,1008.30078
605910,-5.37109,3.41797,1014.64844,889.16016,284.17969,-334.47266,65.91797,-12.20703,1013.67187
610910,7.32422,15.13672,1021.97266,897.46094,291.99219,-351.07422,74.70703,-30.27344,1017.08984
615910,-1.46484,10.25391,1018.06641,876.95312,294.43359,-340.82031,72.75391,-16.60156,1021.48437
620910,-20.50781,-8.78906,1022.94922,886.71875,298.33984,-343.26172,91.79688,-16.11328,1000.97656
625910,-5.37109,14.64844,1022.46094,880.85937,292.48047,-345.21484,81.05469,-15.13672,1007.32422
630910,5.37109,-10.74219,1021.48437,884.76562,296.38672,-332.51953,71.77734,-15.13672,1014.64844
635910,-2.44141,-1.46484,1018.55469,896.48437,290.03906,-333.98437,69.82422,-17.08984,1008.30078
640910,3.90625,-5.37109,1017.08984,904.29687,272.46094,-321.28906,72.75391,-13.18359,1005.85937
646023,-5.37109,-6.83594,1016.60156,897.46094,293.45703,-335.44922,69.33594,-15.625,1014.16016
651035,-7.8125,-6.83594,1020.50781,899.41406,294.43359,-357.42187,76.66016,-15.625,1015.13672
656032,-5.85937,-0.48828,1015.13672,872.55859,291.01562,-351.07422,72.26563,-14.64844,1014.16016
661036,-1.95312,10.74219,1026.85547,883.78906,291.01562,-340.33203,82.03125,-10.74219,1016.60156
666034,-7.32422,5.37109,1022.94922,882.32422,281.25,-337.89062,57.12891,-15.13672,1020.99609
671031,-5.37109,7.8125,1022.94922,894.53125,289.0625,-331.54297,64.94141,-24.41406,1003.90625
676035,9.27734,2.44141,1017.57812,884.76562,291.50391,-335.44922,74.21875,-9.27734,1006.34766
681033,0.48828,6.83594,1024.41406,879.39453,299.31641,-338.86719,73.24219,-12.69531,1016.11328
686030,-4.39453,4.88281,1020.01953,891.60156,279.29687,-345.21484,70.3125,-17.57813,1014.64844
691034,1.95312,0.0,1020.50781,888.67187,294.92187,-352.05078,67.87109,-2.92969,1015.625
696036,4.88281,-3.41797,1019.53125,883.30078,290.52734,-334.96094,70.80078,-16.11328,1017.08984
701033,-3.41797,-4.39453,1017.08984,951.66016,309.08203,-311.03516,83.00781,-9.27734,1026.85547
706030,-0.48828,-6.34766,1008.78906,1016.60156,290.03906,-320.80078,76.66016,-17.08984,1008.78906
711034,-12.69531,-1.95312,1023.4375,940.42969,278.80859,-350.09766,76.17188,-15.13672,1015.625
716032,-3.41797,-2.44141,1027.83203,875.0,291.99219,-357.91016,62.98828,-10.74219,1012.20703
721036,-2.92969,8.30078,1014.16016,861.32812,282.22656,-379.39453,80.07813,-27.83203,1017.57812
726034,4.88281,5.37109,1025.87891,848.63281,284.66797,-373.53516,74.21875,-5.37109,1022.46094
731030,5.37109,-0.97656,1019.04297,851.5625,296.875,-354.98047,74.70703,-18.55469,1025.87891
736037,1.46484,9.27734,1028.80859,935.05859,313.96484,-347.65625,67.38281,-18.55469,1024.41406
741036,-6.83594,6.83594,1026.36719,822.75391,266.11328,-351.5625,75.68359,-22.94922,1004.39453
746035,-4.39453,8.30078,1037.59766,816.89453,265.625,-345.70312,67.87109,-7.8125,1021.97266
751036,2.92969,-4.88281,1009.27734,814.94141,255.85937,-360.35156,68.35938,-16.11328,1020.01953
